Cluster_ID,Metric,Value
2,Recency,2.3345741373435525
1,Recency,-0.9053403195403357
2,Recency,-0.17535959314365723
0,Recency,-0.7353448079137119
3,Recency,2.1745783616949654
2,Recency,-0.5653492962870882
3,Recency,1.114606348023076
3,Recency,1.3945989554081033
3,Recency,1.2146037078034428
2,Recency,-0.6953458640015652
2,Recency,-0.5953485042211982
0,Recency,-0.9053403195403357
2,Recency,-0.345355104770281
2,Recency,-0.4053535206385011
3,Recency,1.9445844342001213
1,Recency,-0.8953405835622991
3,Recency,0.17463116608762697
0,Recency,-0.8453419036721156
3,Recency,1.9845833781122681
0,Recency,-0.8853408475842623
2,Recency,-0.4153532566165378
2,Recency,-0.47535167248475796
2,Recency,-0.2053588010777673
3,Recency,2.184578097673002
0,Recency,-0.6753463920454919
0,Recency,-0.8153426957380054
2,Recency,2.2245770415851487
2,Recency,0.3746258856483608
2,Recency,-0.1053614412974004
2,Recency,-0.7053455999796019
1,Recency,-0.8753411116062256
2,Recency,0.9246113644403788
0,Recency,-0.6353474481333451
3,Recency,2.4545709690799926
1,Recency,-0.7653440158478221
3,Recency,-0.1253609132534738
0,Recency,-0.7053455999796019
2,Recency,-0.2053588010777673
2,Recency,-0.28535668890206084
1,Recency,-0.7353448079137119
2,Recency,-0.5653492962870882
2,Recency,-0.4653519365067213
2,Recency,0.2646287898899572
3,Recency,2.1045802098487085
3,Recency,2.3045749294094424
3,Recency,-0.42535299259457454
2,Recency,0.5646208692310579
2,Recency,-0.7053455999796019
2,Recency,-0.42535299259457454
2,Recency,-0.5953485042211982
2,Recency,-0.13536064923151048
3,Recency,2.1645786257169286
2,Recency,-0.17535959314365723
2,Recency,-0.25535748096795075
3,Recency,1.2446029157375529
1,Recency,-0.6853461280235285
1,Recency,-0.8953405835622991
3,Recency,0.20463037402173703
3,Recency,-0.28535668890206084
0,Recency,-0.7653440158478221
2,Recency,0.03463486239511329
1,Recency,-0.9153400555183724
2,Recency,0.7046171729235716
3,Recency,-0.14536038520954717
3,Recency,1.0246087242207458
0,Recency,-0.7053455999796019
1,Recency,-0.6653466560674551
1,Recency,-0.8353421676940789
3,Recency,-0.49535114444083134
1,Recency,-0.5653492962870882
2,Recency,-0.49535114444083134
1,Recency,-0.9153400555183724
2,Recency,-0.07536223336329032
2,Recency,-0.1253609132534738
3,Recency,0.07463380630726006
1,Recency,-0.9053403195403357
2,Recency,-0.7853434878038954
3,Recency,2.744563312443056
0,Recency,-0.8953405835622991
1,Recency,-0.7153453359576386
0,Recency,-0.7053455999796019
3,Recency,-0.345355104770281
3,Recency,1.5045960511665069
